,Date,CSAT [Before],CSAT [After]
130,2024-07-09,3.48,4.04
131,2024-07-10,4.03,4.24
132,2024-07-11,3.09,3.45
133,2024-07-12,3.38,4.00
134,2024-07-13,2.74,2.88
135,2024-07-14,3.43,3.72
136,2024-07-15,3.16,3.79
137,2024-07-16,3.50,3.84
138,2024-07-17,3.35,3.85
139,2024-07-18,3.56,3.83
140,2024-07-19,3.39,3.77
141,2024-07-20,3.03,3.48
142,2024-07-21,3.68,3.76
143,2024-07-22,3.46,3.74
144,2024-07-23,3.21,4.11
145,2024-07-24,3.24,3.58
146,2024-07-25,3.74,4.00
147,2024-07-26,3.73,4.14
148,2024-07-27,3.63,3.90
149,2024-07-28,3.07,3.52
150,2024-07-29,3.34,3.72
151,2024-07-30,3.50,3.88
152,2024-07-31,3.00,3.56
153,2024-08-01,3.46,3.70
154,2024-08-02,3.63,4.11
155,2024-08-03,3.33,3.96
156,2024-08-04,3.93,4.36
157,2024-08-05,4.00,4.30
158,2024-08-06,2.79,3.00
159,2024-08-07,3.52,4.19
160,2024-08-08,3.04,3.29
161,2024-08-09,3.07,3.24
162,2024-08-10,3.14,3.63
163,2024-08-11,3.21,4.00
164,2024-08-12,3.05,3.75
165,2024-08-13,3.51,3.84
166,2024-08-14,2.93,3.04
167,2024-08-15,3.52,3.81
168,2024-08-16,3.32,4.11
169,2024-08-17,2.90,3.89
170,2024-08-18,3.27,3.63
171,2024-08-19,3.13,3.67
172,2024-08-20,3.72,3.91
173,2024-08-21,3.27,3.88
174,2024-08-22,3.36,3.79
175,2024-08-23,3.36,3.46
176,2024-08-24,3.29,4.04
177,2024-08-25,3.78,4.57
178,2024-08-26,3.63,4.00
179,2024-08-27,3.14,3.49
180,2024-08-28,2.79,3.16
181,2024-08-29,3.78,4.05
182,2024-08-30,3.75,3.75
183,2024-08-31,3.21,3.57
184,2024-09-01,3.72,3.97
185,2024-09-02,3.47,3.97
186,2024-09-03,3.39,3.62
187,2024-09-04,3.69,4.02
188,2024-09-05,3.50,3.77
189,2024-09-06,3.47,3.94
190,2024-09-07,3.56,3.86
191,2024-09-08,3.29,3.91
192,2024-09-09,3.38,4.06
193,2024-09-10,3.17,3.38
194,2024-09-11,3.36,3.95
195,2024-09-12,2.33,3.06
196,2024-09-13,3.51,3.73
197,2024-09-14,3.63,3.81
198,2024-09-15,3.50,3.90
199,2024-09-16,3.55,4.19
200,2024-09-17,3.43,4.00
201,2024-09-18,3.72,4.41
202,2024-09-19,3.61,3.86
203,2024-09-20,3.26,4.03
204,2024-09-21,3.52,4.13
205,2024-09-22,3.67,4.50
206,2024-09-23,3.07,3.67
207,2024-09-24,3.51,4.07
208,2024-09-25,3.63,4.14
209,2024-09-26,3.51,3.81
210,2024-09-27,3.15,3.80
211,2024-09-28,3.55,4.29
212,2024-09-29,4.09,4.41
213,2024-09-30,3.30,4.00
214,2024-10-01,3.44,4.05
215,2024-10-02,3.68,4.19
216,2024-10-03,3.32,3.72
217,2024-10-04,3.76,4.16
218,2024-10-05,3.20,4.00
219,2024-10-06,3.54,4.20
220,2024-10-07,3.90,4.23
221,2024-10-08,3.63,4.11
222,2024-10-09,3.79,3.88
223,2024-10-10,3.86,4.21
224,2024-10-11,3.68,4.07
225,2024-10-12,3.31,3.96
226,2024-10-13,3.43,4.33
227,2024-10-14,3.38,4.00
228,2024-10-15,3.61,3.94
229,2024-10-16,3.00,3.27
230,2024-10-17,3.42,3.59
231,2024-10-18,3.38,3.95
232,2024-10-19,3.94,4.46
233,2024-10-20,3.75,3.85
234,2024-10-21,3.78,4.13
235,2024-10-22,3.22,3.58
236,2024-10-23,3.58,4.00
237,2024-10-24,3.75,4.21
238,2024-10-25,3.50,4.00
239,2024-10-26,3.97,4.25
240,2024-10-27,3.97,4.37
241,2024-10-28,3.05,3.38
242,2024-10-29,3.84,4.43
243,2024-10-30,3.58,4.03
244,2024-10-31,3.36,4.00
245,2024-11-01,3.92,4.09
246,2024-11-02,3.65,4.14
247,2024-11-03,3.60,3.87
248,2024-11-04,3.69,4.00
249,2024-11-05,3.68,4.09
250,2024-11-06,3.75,4.10
251,2024-11-07,3.29,3.96
252,2024-11-08,3.55,4.11
253,2024-11-09,3.59,4.20
254,2024-11-10,3.40,3.85
255,2024-11-11,3.46,3.56
256,2024-11-12,3.80,3.92
257,2024-11-13,3.82,4.28
258,2024-11-14,3.37,4.05
259,2024-11-15,3.45,4.34
260,2024-11-16,4.03,4.71
261,2024-11-17,4.50,4.50
262,2024-11-18,3.64,3.64
263,2024-11-19,3.31,4.24
264,2024-11-20,3.64,3.86
265,2024-11-21,3.88,4.16
266,2024-11-22,3.30,3.90
267,2024-11-23,3.42,3.76
268,2024-11-24,3.84,4.14
269,2024-11-25,3.76,4.14
270,2024-11-26,4.10,4.56
271,2024-11-27,3.75,4.30
272,2024-11-28,3.45,3.81
273,2024-11-29,3.05,3.44
274,2024-11-30,3.33,3.88
275,2024-12-01,3.35,4.43
276,2024-12-02,3.84,4.07
277,2024-12-03,3.89,3.99
278,2024-12-04,3.68,3.94
279,2024-12-05,3.35,3.96
280,2024-12-06,3.64,4.28
281,2024-12-07,3.58,4.33
282,2024-12-08,3.46,3.86
283,2024-12-09,3.47,3.88
284,2024-12-10,3.25,3.57
285,2024-12-11,3.78,4.00
286,2024-12-12,3.61,3.94
287,2024-12-13,3.93,4.39
288,2024-12-14,3.47,3.88
289,2024-12-15,3.13,3.63
290,2024-12-16,3.73,4.06
291,2024-12-17,3.65,3.96
292,2024-12-18,3.94,4.20
293,2024-12-19,3.33,4.03
294,2024-12-20,4.11,4.65
295,2024-12-21,3.50,3.82
296,2024-12-22,3.48,3.95
297,2024-12-23,3.47,3.95
298,2024-12-24,3.32,3.91
299,2024-12-25,3.73,3.97
300,2024-12-26,3.62,3.97
301,2024-12-27,3.34,3.83
302,2024-12-28,3.60,4.12
303,2024-12-29,3.51,3.74
304,2024-12-30,3.18,3.77
305,2024-12-31,3.82,4.06
306,2025-01-01,3.33,3.70
307,2025-01-02,3.64,4.08
308,2025-01-03,3.72,4.06
309,2025-01-04,3.35,3.95
310,2025-01-05,3.29,3.52
311,2025-01-06,3.33,3.84
312,2025-01-07,3.59,3.83
313,2025-01-08,3.55,3.87
314,2025-01-09,3.32,3.90
315,2025-01-10,3.60,4.05
316,2025-01-11,3.54,4.03
317,2025-01-12,3.46,4.08
318,2025-01-13,3.40,3.87
319,2025-01-14,3.59,4.03
320,2025-01-15,3.43,3.94
321,2025-01-16,3.64,4.06
322,2025-01-17,3.50,3.95
323,2025-01-18,3.46,4.05
324,2025-01-19,4.47,4.67
325,2025-01-20,3.31,3.91
326,2025-01-21,3.85,4.21
327,2025-01-22,3.71,4.07
328,2025-01-23,3.22,3.72
329,2025-01-24,3.39,3.68
330,2025-01-25,3.28,3.83
331,2025-01-26,3.31,3.73
332,2025-01-27,3.37,3.96
333,2025-01-28,3.00,3.52
334,2025-01-29,3.85,4.17
335,2025-01-30,3.38,3.86
336,2025-01-31,3.78,3.94
337,2025-02-01,3.36,3.94
338,2025-02-02,3.82,4.28
339,2025-02-03,3.85,4.14
340,2025-02-04,3.51,3.72
341,2025-02-05,3.80,4.30
342,2025-02-06,3.34,3.97
343,2025-02-07,3.81,3.81
344,2025-02-08,2.89,3.68
345,2025-02-09,3.57,3.77
346,2025-02-10,2.61,3.10
347,2025-02-11,3.68,4.03
348,2025-02-12,3.24,3.92
349,2025-02-13,3.84,4.15
350,2025-02-14,3.82,4.04
351,2025-02-15,2.60,3.35
352,2025-02-16,3.32,3.55
353,2025-02-17,3.65,4.28
354,2025-02-18,3.76,4.22
355,2025-02-19,3.42,3.52
356,2025-02-20,2.48,2.89
357,2025-02-21,3.35,4.18
358,2025-02-22,3.76,4.18
359,2025-02-23,3.18,3.67
360,2025-02-24,3.65,4.00
361,2025-02-25,3.39,3.77
362,2025-02-26,4.03,4.35
363,2025-02-27,3.50,3.80
364,2025-02-28,3.15,3.41
365,2025-03-01,3.92,4.17
366,2025-03-02,3.20,3.87
367,2025-03-03,3.09,3.40
368,2025-03-04,3.39,3.63
369,2025-03-05,3.33,3.81
370,2025-03-06,2.57,3.25
371,2025-03-07,3.72,4.06
372,2025-03-08,3.57,4.00
373,2025-03-09,3.71,4.17
374,2025-03-10,3.59,3.81
375,2025-03-11,3.38,3.68
376,2025-03-12,2.87,2.99
377,2025-03-13,3.31,4.00
378,2025-03-14,3.31,4.00
379,2025-03-15,3.84,4.14
380,2025-03-16,3.26,3.69
381,2025-03-17,3.21,3.52
382,2025-03-18,3.00,3.40
383,2025-03-19,3.43,3.62
384,2025-03-20,2.81,2.88
385,2025-03-21,3.13,3.30
386,2025-03-22,3.71,4.17
387,2025-03-23,3.18,4.00
388,2025-03-24,3.50,4.11
389,2025-03-25,3.63,3.74
390,2025-03-26,3.21,3.35
391,2025-03-27,3.75,4.00
392,2025-03-28,3.72,3.94
393,2025-03-29,3.22,4.00
394,2025-03-30,3.50,3.59
395,2025-03-31,3.41,3.93
396,2025-04-01,3.21,3.56
397,2025-04-02,3.24,3.35
398,2025-04-03,2.41,3.18
399,2025-04-04,3.38,3.95
400,2025-04-05,3.23,4.35
401,2025-04-06,3.67,4.03
402,2025-04-07,3.34,3.78
403,2025-04-08,3.69,4.18
404,2025-04-09,2.55,2.94
405,2025-04-10,3.55,3.67
406,2025-04-11,3.50,3.92
407,2025-04-12,3.46,3.91
408,2025-04-13,3.22,3.61
409,2025-04-14,4.24,4.58
410,2025-04-15,3.71,4.35
411,2025-04-16,3.42,3.90
412,2025-04-17,3.58,4.20
413,2025-04-18,3.48,3.80
414,2025-04-19,3.57,4.12
415,2025-04-20,3.30,3.77
416,2025-04-21,3.38,4.17
417,2025-04-22,3.73,4.16
418,2025-04-23,3.83,4.15
419,2025-04-24,3.62,4.06
420,2025-04-25,3.25,3.50
421,2025-04-26,2.96,3.19
422,2025-04-27,3.82,4.20
423,2025-04-28,3.75,4.09
424,2025-04-29,4.28,4.28
425,2025-04-30,4.17,4.41
426,2025-05-01,3.28,3.81
427,2025-05-02,3.68,3.86
428,2025-05-03,3.48,4.05
429,2025-05-04,3.76,4.36
430,2025-05-15,3.07,3.33
431,2025-05-16,3.55,4.40
432,2025-05-17,2.86,3.45
433,2025-05-18,3.82,4.03
434,2025-05-19,3.93,4.44
435,2025-05-20,3.26,4.04
436,2025-05-21,3.45,3.79
437,2025-05-22,3.83,4.10
438,2025-05-23,3.32,3.46
439,2025-05-24,2.87,3.39
440,2025-05-25,2.85,3.40
441,2025-05-26,3.76,4.23
442,2025-05-27,3.72,4.42
443,2025-05-28,3.76,3.93
444,2025-05-29,3.86,4.16
445,2025-05-30,3.55,3.70
446,2025-05-31,3.20,3.39
447,2025-06-01,3.79,4.17
448,2025-06-02,3.91,4.19
449,2025-06-03,3.75,4.14
450,2025-06-04,3.65,3.98
451,2025-06-05,3.38,3.70
452,2025-06-06,3.40,4.05
453,2025-06-07,3.21,3.52
454,2025-06-08,4.00,4.35
455,2025-06-09,4.13,4.24
456,2025-06-10,3.85,4.08
457,2025-06-11,4.13,4.23
458,2025-06-12,3.69,4.31
459,2025-06-13,3.23,3.38
460,2025-06-14,3.79,4.00
461,2025-06-15,3.21,3.77
462,2025-06-16,3.42,4.13
463,2025-06-17,3.05,3.37
464,2025-06-18,4.33,4.45
465,2025-06-19,3.48,3.95
466,2025-06-20,3.45,4.04
467,2025-06-21,2.88,3.76
468,2025-06-22,3.16,3.56
469,2025-06-23,3.77,4.33
470,2025-06-24,3.14,3.61
471,2025-06-25,3.70,4.10
472,2025-06-26,2.93,3.59
473,2025-06-27,3.17,3.52
474,2025-06-28,3.86,4.00
475,2025-06-29,3.63,4.04
476,2025-06-30,3.71,4.14
478,2025-07-01,3.14,3.47
479,2025-07-02,2.91,3.27
480,2025-07-03,3.09,3.63
481,2025-07-04,3.16,3.86
482,2025-07-05,2.62,2.76
483,2025-07-06,2.59,2.88
484,2025-07-07,3.22,3.63
485,2025-07-08,3.39,3.66
486,2025-07-09,3.59,3.73
487,2025-07-10,3.78,3.88
488,2025-07-11,3.27,3.70
489,2025-07-12,3.61,4.09
490,2025-07-13,3.62,3.97
491,2025-07-14,3.12,3.49
492,2025-07-15,2.90,3.38
493,2025-07-16,3.59,4.25
494,2025-07-17,2.86,3.44
495,2025-07-18,3.45,3.89
496,2025-07-19,2.97,3.32
497,2025-07-20,3.47,3.80
498,2025-07-21,3.61,3.94
499,2025-07-22,2.86,3.17
500,2025-07-23,2.68,3.42
501,2025-07-24,3.56,3.72
502,2025-07-25,3.28,3.34
503,2025-07-26,2.54,2.84
504,2025-07-27,3.44,3.75
505,2025-07-28,3.24,3.96
506,2025-07-29,3.40,3.82
507,2025-07-30,3.00,3.43
508,2025-07-31,3.35,3.69
509,2025-08-01,3.28,3.89
510,2025-08-02,2.94,3.16
511,2025-08-03,3.07,3.42
512,2025-08-04,3.12,3.41
513,2025-08-05,3.84,4.00
514,2025-08-06,3.66,4.07
515,2025-08-07,3.00,3.50
516,2025-08-08,3.44,3.93
517,2025-08-09,3.59,4.17
518,2025-08-10,3.57,4.13
519,2025-08-11,3.71,3.88
520,2025-08-12,3.22,3.29
521,2025-08-13,3.86,3.86
522,2025-08-14,3.58,3.82
523,2025-08-15,2.78,3.36
524,2025-08-16,2.80,3.25
525,2025-08-17,3.75,3.89
526,2025-08-18,3.57,3.68
527,2025-08-19,3.64,3.83
528,2025-08-20,3.24,3.56
529,2025-08-21,3.45,3.82
530,2025-08-22,3.51,3.67
531,2025-08-23,3.35,3.77
532,2025-08-24,3.80,4.04
533,2025-08-25,3.52,4.28
534,2025-08-26,3.11,3.50
535,2025-08-27,3.43,3.95
536,2025-08-28,2.68,3.14
537,2025-08-29,3.18,3.54
538,2025-08-30,3.29,3.82
539,2025-08-31,3.36,3.95
540,2025-09-01,3.00,3.77
541,2025-09-02,3.28,3.71
542,2025-09-03,3.58,4.04
